,taxon_oid,Domain,Status,Study Name,Genome Name,Sequencing Center,IMG Genome ID ,Phylum,Class,Order,Family,Genus,Species,High Quality,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Habitat,Isolation,Type Strain,Uncultured Type,Genome Size   * assembled,Gene Count   * assembled,pfam00072,pfam00183,pfam00204,pfam00512,pfam02518,pfam07536,pfam07568,pfam07730,pfam13581,pfam13589,pfam13941,pfam14501,hamp_hk,ratio,hybrid,percent_hybrid
1220,2645727547,Bacteria,Finished,Microcystis aeruginosa NIES-2549 Genome sequencing,Microcystis aeruginosa NIES-2549,National Institute for Environmental Studies,2645727547,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,Yes,,,,,,,,,4294213,4043,29,1,1,18,21,0,0,0,3,2,0,0,24,1.208333333,4,13.79310345
1221,2645727866,Bacteria,Permanent Draft,Microcystis aeruginosa NIES-44 genome sequence,Microcystis aeruginosa NIES-44,Akita Prefectural University,2645727866,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,Yes,,,,,,,,,4562489,4368,27,1,1,17,20,0,0,0,3,2,0,0,23,1.173913043,2,11.76470588
905,641522640,Bacteria,Finished,Microcystis aeruginosa NIES-843,Microcystis aeruginosa NIES-843,Kazusa DNA Research Institute,641522640,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,Yes,Environmental,Aquatic,Lentic,Freshwater,"Aquatic, Fresh water, Host","Lake Kasumigaura Ibaraki Japan from Otsuka, Shigeto",Yes,,5842795,6360,29,1,1,17,20,0,0,0,3,2,0,0,23,1.260869565,8,20.51282051
1222,2731957844,Bacteria,Permanent Draft,Microcystis aeruginosa NIES-88 Genome sequencing,Microcystis aeruginosa NIES-88,University of Helsinki,2731957844,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,Yes,,,,,,,,,5263219,5138,28,1,1,17,21,0,0,0,3,2,0,0,24,1.166666667,,0
1223,2585427674,Bacteria,Permanent Draft,Microcystis aeruginosa PCC 7005,Microcystis aeruginosa PCC 7005,University of Amsterdam,2585427674,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,Yes,,,,,"Aquatic, Fresh water","Madison, Wisconsin, USA",No,,4906446,4968,27,1,1,17,21,0,0,0,3,2,0,0,24,1.125,8,20.51282051
906,2537562156,Bacteria,Permanent Draft,Microcystis aeruginosa project - Genoscope CEA,Microcystis aeruginosa PCC 7941,CEA Genoscope,2537562156,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,Yes,Environmental,Aquatic,Lake,Freshwater,"Fresh water, Lake, Lake water",lake,Unknown,,4758699,4575,26,1,1,16,19,0,0,0,3,2,0,0,22,1.181818182,10,23.80952381
1224,2534681687,Bacteria,Permanent Draft,Microcystis aeruginosa project - Genoscope CEA,Microcystis aeruginosa PCC 9432,CEA Genoscope,2534681687,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,Yes,,,,,,,Unknown,,4951242,4822,26,1,1,17,20,0,0,0,3,2,0,0,23,1.130434783,5,13.15789474
1225,2537562159,Bacteria,Permanent Draft,Microcystis aeruginosa project - Genoscope CEA,Microcystis aeruginosa PCC 9443,CEA Genoscope,2537562159,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,Yes,,,,,,,Unknown,,5109141,4844,29,1,1,18,21,0,0,0,3,2,0,0,24,1.208333333,5,10.63829787
1226,2534681681,Bacteria,Permanent Draft,Microcystis aeruginosa project - Genoscope CEA,Microcystis aeruginosa PCC 9701,CEA Genoscope,2534681681,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,Yes,,,,,,,Unknown,,4716298,4542,28,1,1,17,21,0,0,0,3,2,0,0,24,1.166666667,1,3.333333333
1227,2534681680,Bacteria,Permanent Draft,Microcystis aeruginosa project - Genoscope CEA,Microcystis aeruginosa PCC 9717,CEA Genoscope,2534681680,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,Yes,,,,,,,Unknown,,5211238,4900,30,1,1,17,20,0,0,0,3,2,0,0,23,1.304347826,1,2.43902439
1228,2534681685,Bacteria,Permanent Draft,Microcystis aeruginosa project - Genoscope CEA,Microcystis aeruginosa PCC 9806,CEA Genoscope,2534681685,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,Yes,,,,,,,Unknown,,4231664,4049,29,1,1,19,23,0,0,0,3,2,0,0,26,1.115384615,6,10.90909091
907,2534681684,Bacteria,Permanent Draft,Microcystis aeruginosa project - Genoscope CEA,Microcystis aeruginosa PCC 9807,CEA Genoscope,2534681684,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,Yes,Environmental,Aquatic,Drinking water,Freshwater,"Fresh water, Reservoir water","water behind the Hartbeespoort Dam, Pretoria, South Africa",Unknown,,5077607,4850,28,1,1,17,21,0,0,0,3,2,0,0,24,1.166666667,7,14
1229,2534681683,Bacteria,Permanent Draft,Microcystis aeruginosa project - Genoscope CEA,Microcystis aeruginosa PCC 9808,CEA Genoscope,2534681683,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,Yes,,,,,,,Unknown,,5003245,4902,24,1,1,16,19,0,0,0,3,2,0,0,22,1.090909091,9,22.5
1230,2534681682,Bacteria,Permanent Draft,Microcystis aeruginosa project - Genoscope CEA,Microcystis aeruginosa PCC 9809,CEA Genoscope,2534681682,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,Yes,,,,,,,Unknown,,4930216,4742,31,1,1,16,21,0,0,0,3,3,0,0,25,1.24,2,10
908,2545824749,Bacteria,Permanent Draft,Microcystis aeruginosa SPC777 Genome sequencing,Microcystis aeruginosa SPC777,University of Sao Paulo,2545824749,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,Yes,Environmental,Aquatic,Drinking water,Freshwater,,,Unknown,,5454996,5289,32,1,0,18,23,0,0,0,3,3,0,0,28,1.142857143,,0
909,2541047129,Bacteria,Permanent Draft,Microcystis aeruginosa TAIHU98,Microcystis aeruginosa TAIHU98,Chinese Academy of Sciences,2541047129,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,Yes,Environmental,Aquatic,Lentic,Freshwater,"Aquatic, Fresh water","Taihu Lake, China",No,,4849611,5404,26,1,1,17,20,0,0,0,3,3,0,0,24,1.083333333,,0
910,2645727631,Bacteria,Finished,Microcystis panniformis FACHB-1757,Microcystis panniformis FACHB-1757,Pacific Biosciences,2645727631,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis panniformis,Yes,Environmental,Aquatic,Drinking water,Freshwater,,31.421N 120.201E,Unknown,,5686839,5766,28,1,1,15,19,0,0,0,3,2,0,0,22,1.272727273,1,7.142857143
911,2751185885,Bacteria,Finished,Microcystis aeruginosa PCC 7806SL Genome sequencing,Microcystis sp. PCC 7806SL,"Chinese Academy of Sciences, Institute of Hydrobiology",2751185885,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,unclassified,Yes,Environmental,Aquatic,,Freshwater,,freshwater,,,5139339,4929,25,1,1,17,20,0,0,0,3,2,0,0,23,1.086956522,,0
1231,2531839541,Bacteria,Permanent Draft,Microcystis sp. T1-4,Microcystis sp. T1-4,CEA Genoscope,2531839541,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis sp. T1-4,Yes,,,,,,,Unknown,,4693747,4488,30,1,1,17,21,0,0,0,3,2,0,0,24,1.25,1,6.25
297,2540341199,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Microvirga flocculans ATCC BAA-817,DOE Joint Genome Institute (JGI),2540341199,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga,Microvirga flocculans,Yes,Environmental,Aquatic,,Thermal springs,"Aquatic, Hot spring",Hot spring Japan,Yes,,4029781,3913,48,0,2,20,31,15,1,0,0,1,0,0,31,1.548387097,1,9.090909091
38,2556921007,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Microvirgula aerodenitrificans DSM 15089,DOE Joint Genome Institute (JGI),2556921007,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Microvirgula,Microvirgula aerodenitrificans,Yes,Engineered,Wastewater,Unclassified,Unclassified,Sludge,Upflow denitrifying filter inoculated with activated sludge,Yes,,4039307,3824,48,1,2,26,36,0,1,1,0,1,0,0,35,1.371428571,1,8.333333333
712,2630969007,Bacteria,Draft,Genome Comparison of Marine Filamentous Cyanobacteria and Their Associates,Moorea bouillonii-heterotrophic bacteria co-culture from Papua New Guinea (One linear chromosome and 12 unmapped contigs),"University of California, San Diego, Scripps Institute of Oceanography",2630969007,Cyanobacteria,unclassified,Oscillatoriales,Oscillatoriaceae,Moorea,Moorea bouillonii,Yes,Environmental,Aquatic,Oceanic,Marine,,"Shallow water, marine environment",,,8319104,7090,104,1,1,68,80,0,4,2,4,2,0,0,88,1.181818182,6,31.57894737
1232,2506381026,Bacteria,Permanent Draft,Lyngbya majuscula 3L,Moorea producens 3L,"University of California, San Diego, Scripps Institute of Oceanography",2506381026,Cyanobacteria,unclassified,Oscillatoriales,Oscillatoriaceae,Moorea,Moorea producens,Yes,,,,,,,Unknown,,8478612,7534,92,1,1,58,69,0,4,2,4,2,0,0,77,1.194805195,1,9.090909091
713,2718217854,Bacteria,Finished,Moorea producens PAL 15AUG08-1 Genome sequencing,Moorea producens PAL-8-15-08-1,University of San Diego,2718217854,Cyanobacteria,unclassified,Oscillatoriales,Oscillatoriaceae,Moorea,Moorea producens,Yes,Environmental,Aquatic,,Marine,,"shallow tropical waters, normally from coral reef substrate",,,9708656,7441,116,1,1,79,92,0,3,2,4,2,0,0,99,1.171717172,4,26.66666667
714,2630969006,Bacteria,Draft,Genome Comparison of Marine Filamentous Cyanobacteria and Their Associates,Moorea producens-heterotrophic bacteria co-culture from Cura?ao (One linear chromosome and 78 unmapped contigs),"University of California, San Diego, Scripps Institute of Oceanography",2630969006,Cyanobacteria,unclassified,Oscillatoriales,Oscillatoriaceae,Moorea,Moorea producens,Yes,Environmental,Aquatic,Oceanic,Marine,,"Shallow water, marine environment",,,8371387,7184,92,1,1,58,69,0,4,2,4,2,0,0,77,1.194805195,1,8.333333333
715,2630968268,Bacteria,Draft,Genome Comparison of Marine Filamentous Cyanobacteria and Their Associates,"Moorea producens-heterotrophic bacteria co-culture from Palmyra Atoll (Complete Genome, 1 Circular Chromosome and 1 Circular Plasmid)","University of California, San Diego, Scripps Institute of Oceanography",2630968268,Cyanobacteria,unclassified,Oscillatoriales,Oscillatoriaceae,Moorea,Moorea producens,Yes,Environmental,Aquatic,Oceanic,Marine,,"Shallow water, marine environment",,,9708656,7698,116,1,1,79,92,0,3,2,4,2,0,0,99,1.171717172,10,25.64102564
716,2630968267,Bacteria,Draft,Genome Comparison of Marine Filamentous Cyanobacteria and Their Associates,Moorea producens-heterotrophic bacteria co-culture from Palmyra Atoll (Final Draft of Linear Chromosome),"University of California, San Diego, Scripps Institute of Oceanography",2630968267,Cyanobacteria,unclassified,Oscillatoriales,Oscillatoriaceae,Moorea,Moorea producens,Yes,Environmental,Aquatic,Oceanic,Marine,,"Shallow water, marine environment",,,3628091,3519,27,0,2,12,20,2,0,0,0,2,0,0,20,1.35,1,7.692307692
575,2515154147,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Moraxella boevrei DSM 14165,DOE Joint Genome Institute (JGI),2515154147,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella boevrei,Yes,Host-associated,Animal,Unclassified,Respiratory system,Host,Nasal cavity of a healthy goat,Yes,,2427214,2367,18,1,2,10,18,0,0,1,0,1,0,0,16,1.125,6,30
576,2524614551,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Moraxella caprae DSM 19149,DOE Joint Genome Institute (JGI),2524614551,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella caprae,Yes,Host-associated,Animal,Unclassified,Respiratory system,Host,Nasal flora of goat,Yes,,2602231,2646,14,1,2,6,12,0,0,1,0,1,0,0,10,1.4,4,25
717,2519899695,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Moritella marina ATCC 15381,DOE Joint Genome Institute (JGI),2519899695,Proteobacteria,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella,Moritella marina,Yes,Environmental,Aquatic,Unclassified,Marine,"Aquatic, Marine, Sea water",Seawater,Yes,,4648950,4246,58,1,2,27,42,0,0,2,1,3,0,0,43,1.348837209,2,14.28571429
912,2506520020,Bacteria,Permanent Draft,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Mucilaginibacter paludis TPT56, DSM 18603",DOE Joint Genome Institute (JGI),2506520020,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter paludis,Yes,Environmental,Aquatic,Wetlands,Freshwater,"Bog, Wetland","the acidic Sphagnum peat bog Bakchar, in western Siberia, Russia",Yes,,8408322,7236,109,1,2,73,99,0,1,5,1,3,0,0,101,1.079207921,4,25
718,2505679007,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Muricauda ruestringensis B1, DSM 13258",DOE Joint Genome Institute (JGI),2505679007,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Muricauda,Muricauda ruestringensis,Yes,Environmental,Aquatic,Oceanic,Marine,"Aquatic, Marine, Sediment","Seawater sediment suspension containing hexadecane; Germany, North Sea coast.",Yes,,3842422,3525,40,1,2,14,32,0,2,3,0,4,0,0,35,1.142857143,11,50
1126,2545555864,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycobacterium genavense ATCC 51234,DOE Joint Genome Institute (JGI),2545555864,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium genavense,Yes,Host-associated,Human,Blood,Circulatory system,"Blood, Host",Blood - human,Yes,,4936071,5437,18,1,2,9,19,0,1,4,6,1,0,0,24,0.75,4,28.57142857
979,2515154012,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycobacterium hassiacum DSM 44199,DOE Joint Genome Institute (JGI),2515154012,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium hassiacum,Yes,Host-associated,Human,Urethra,Excretory system,"Host, Human, Human urine, Urine",human urine,Yes,,5082325,4948,16,1,2,9,16,0,1,4,3,1,0,0,18,0.888888889,2,14.28571429
1081,2561511236,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project","Mycoplasma alvi Ilsley, ATCC 29626",DOE Joint Genome Institute (JGI),2561511236,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma alvi,Yes,Host-associated,Animal,Unclassified,Digestive system,"Bovine, Host",Bovine intestinal tract,Yes,,840640,722,0,0,2,0,2,0,0,0,0,1,0,0,1,0,3,23.07692308
224,2561511058,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma anseris ATCC 49234,DOE Joint Genome Institute (JGI),2561511058,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma anseris,Yes,Host-associated,Birds,Unclassified,Unclassified,"Bird, Host","Goose phallus lymph, Hungary",Yes,,739184,668,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,7,35
225,2561511071,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma cloacale ATCC 35276,DOE Joint Genome Institute (JGI),2561511071,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma cloacale,Yes,Host-associated,Birds,Unclassified,Unclassified,"Bird, Host",Turkey poult cloaca,Yes,,661755,599,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,12,42.85714286
1164,2561511076,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma collis ATCC 35278,DOE Joint Genome Institute (JGI),2561511076,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma collis,Yes,Host-associated,Mammals,,,Host,Rat conjunctival sac,Yes,,902877,833,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,2,12.5
586,2565956533,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma columbinum ATCC 29257,DOE Joint Genome Institute (JGI),2565956533,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma columbinum,Yes,Host-associated,Birds,Unclassified,Reproductive system,"Bird, Host",Pigeon trachea,Yes,,765157,653,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,1,8.333333333
587,2561511074,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma columborale ATCC 29258,DOE Joint Genome Institute (JGI),2561511074,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma columborale,Yes,Host-associated,Birds,Unclassified,Reproductive system,"Bird, Host",Pigeon trachea,Yes,,915635,776,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,24,33.8028169
157,2545824614,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma cricetuli ATCC 35279,DOE Joint Genome Institute (JGI),2545824614,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma cricetuli,Yes,Host-associated,Mammals,Unclassified,Unclassified,Host,"Chinese hamster conjunctiva, United Kingdom",Yes,,847750,758,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,1,3.125
591,2556921632,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma elephantis ATCC 51980,DOE Joint Genome Institute (JGI),2556921632,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma elephantis,Yes,Host-associated,Animal,Unclassified,Reproductive system,Host,genital tract of female elephant with arthritis,Yes,,769819,720,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,,0
83,2556921631,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma felifaucium ATCC 43428,DOE Joint Genome Institute (JGI),2556921631,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma felifaucium,Yes,Host-associated,Unclassified,Unclassified,Unclassified,Host,"puma throat, Felis concolor, England",Yes,,769986,718,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,,0
84,2561511083,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma felis ATCC 23391,DOE Joint Genome Institute (JGI),2561511083,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma felis,Yes,Host-associated,Unclassified,Unclassified,Unclassified,Host,Eye of cat with conjunctivitis,Yes,,816585,762,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,,0
588,2558860163,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma gallinarum DSM 19816,DOE Joint Genome Institute (JGI),2558860163,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma gallinarum,Yes,Host-associated,Birds,Unclassified,Reproductive system,"Bird, Host",Upper respiratory tract of a fowl,Yes,,834674,708,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,1,3.448275862
226,2523533588,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma gallisepticum ATCC 19610,DOE Joint Genome Institute (JGI),2523533588,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma gallisepticum,Yes,Host-associated,Birds,Unclassified,Unclassified,"Bird, Host",,Yes,,922663,799,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,14,42.42424242
227,2556921629,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma glycophilum ATCC 35277,DOE Joint Genome Institute (JGI),2556921629,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma glycophilum,Yes,Host-associated,Birds,Unclassified,Unclassified,"Bird, Host",Adult chicken oviduct,Yes,,898866,711,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,,0
1127,2519899696,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project","Mycoplasma hominis LBD-4, ATCC 27545",DOE Joint Genome Institute (JGI),2519899696,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma hominis,Yes,Host-associated,Human,Blood,Circulatory system,Host,Blood - human,No,,689195,627,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,29,31.86813187
554,2519899697,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project","Mycoplasma hyorhinis BTS7, ATCC 17981",DOE Joint Genome Institute (JGI),2519899697,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma hyorhinis,Yes,Host-associated,Mammals,Nasopharyngeal,Respiratory system,"Host, Pig, Pig nasopharyngeal microflora",nasal cavity of pig,Yes,,806507,760,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,,0
589,2540341221,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma imitans ATCC 51306,DOE Joint Genome Institute (JGI),2540341221,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma imitans,Yes,Host-associated,Birds,Unclassified,Reproductive system,"Bird, Host","Turbinate of duck, France",Yes,,924386,781,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,8,22.22222222
567,2561511077,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma iners ATCC 19705,DOE Joint Genome Institute (JGI),2561511077,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma iners,Yes,Host-associated,Birds,,Respiratory system,"Bird, Host",Respiratory tract of chicken with chronic respiratory disease.,Yes,,767866,646,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,38,33.62831858
577,2558309105,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma leonicaptivi ATCC 49890,DOE Joint Genome Institute (JGI),2558309105,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma leonicaptivi,Yes,Host-associated,Animal,Unclassified,Respiratory system,Host,"Throat of lion, England",Yes,,901123,821,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,8,19.04761905
228,2563366546,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma lipofaciens ATCC 35015,DOE Joint Genome Institute (JGI),2563366546,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma lipofaciens,Yes,Host-associated,Birds,Unclassified,Unclassified,"Bird, Host",chicken infraorbital sinus,Yes,,778716,699,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,19,26.76056338
578,2558309109,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma molare ATCC 27746,DOE Joint Genome Institute (JGI),2558309109,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma molare,Yes,Host-associated,Animal,Unclassified,Respiratory system,Host,Throat of dog,Yes,,842941,744,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,26,36.11111111
579,2565956532,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma opalescens ATCC 27921,DOE Joint Genome Institute (JGI),2565956532,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma opalescens,Yes,Host-associated,Animal,Unclassified,Respiratory system,Host,Throat of dog,Yes,,779012,680,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,9,22.5
562,2523533589,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma orale ATCC 23714,DOE Joint Genome Institute (JGI),2523533589,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma orale,Yes,Host-associated,Human,Nasopharyngeal,Respiratory system,"Host, Human","oropharynx of child, Washington, DC",Yes,,710549,637,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,21,32.30769231
161,2563366544,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma pirum ATCC 25960,DOE Joint Genome Institute (JGI),2563366544,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma pirum,Yes,Engineered,Lab synthesis,Unclassified,Unclassified,Lab culture,Tissue culture,Yes,,839829,721,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,27,36
582,2561511078,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Mycoplasma primatum ATCC 25948,DOE Joint Genome Institute (JGI),2561511078,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma primatum,Yes,Host-associated,Mammals,,Reproductive system,Host,"Prostatic, urethral tissues of monkey, Cercopithecus aethiops.",Yes,,902769,829,0,0,2,0,2,0,0,0,0,0,0,0,0,#DIV/0!,20,25.64102564
